no,code,name,type,gu,gujuso,x,y,room,year,old,area,resident,ave_area,area,a1,a2,a3,a4,a5,a6,a7,a8,a9
126,70188,길음동부(길음3),재개발,성북구,성북구 숭인로2길 61 ,37.6093522,127.024975,300,2002-03-01,19,34,재개발,34,34,,,,,,,,,
127,70187,하왕극동미라주(하왕5),재개발,성동구,성동구 난계로 73 ,37.4583261,126.8763077,191,2001-12-14,19,32,재개발,32,32,,,,,,,,,
128,70174,이문중앙하이츠빌(이문4),재개발,동대문구,동대문구 휘경로11길 52 ,37.5961214,127.0637698,70,2002-05-03,18,30,재개발,30,30,,,,,,,,,
129,70180,상월곡동아(상월곡),재개발,성북구,성북구 장월로1길 28 ,37.6060971,127.0450802,278,2002-08-14,18,31,재개발,31,31,,,,,,,,,
130,70190,공덕2삼성(공덕2),재개발,마포구,마포구 만리재옛길 101 ,37.5462915,126.9556926,199,2002-08-14,18,33,재개발,33,33,,,,,,,,,
131,70175,행당한신(행당2),재개발,성동구,성동구 고산자로 164 ,37.5475492,127.0365232,159,2002-09-12,18,28,재개발,28,28,,,,,,,,,
132,70176,시흥벽산(시흥1),재개발,금천구,금천구 금하로 796 ,37.4494236,126.9170384,1288,2002-09-26,18,32,재개발,32,32,,,,,,,,,
133,70177,미아벽산(미아1-2),재개발,강북구,강북구 솔샘로 159 ,37.6200526,127.0117959,490,2002-10-22,18,32,재개발,32,32,,,,,,,,,
134,70179,답십리대림(답십리10),재개발,동대문구,동대문구 답십리로60길 38 ,37.5702606,127.0637463,47,2002-10-28,18,34,재개발,34,34,,,,,,,,,
135,70178,상도래미안1차(상도2),재개발,동작구,동작구 등용로 37 ,37.5055973,126.9346033,164,2002-11-14,18,30,재개발,30,30,,,,,,,,,
136,90142,온수연립주택,기타임대,노원구,노원구 동일로239나길 27 ,37.67642586,127.0512774,15,2002-11-04,18,"59,57",기타임대,58,59,57,,,,,,,,
137,70192,월곡두산,재개발,성북구,성북구 오패산로 46 ,37.6031787,127.037774,458,2003-04-30,17,30,재개발,30,30,,,,,,,,,
138,70193,이문대림(이문3),재개발,동대문구,동대문구 이문로54길 16 ,37.6055619,127.0652881,181,2003-05-28,17,30,재개발,30,30,,,,,,,,,
139,70194,정릉풍림(정릉4),재개발,성북구,성북구 솔샘로25길 11-14 ,37.6207707,127.0066119,332,2003-06-28,17,32,재개발,32,32,,,,,,,,,
140,20196,상암월드컵1단지,공공,마포구,마포구 월드컵북로47길 8 ,37.5740577,126.8925751,820,2003-08-30,17,"39,49",공공,44,39,49,,,,,,,,
141,70196,관악벽산블루밍,재개발,관악구,관악구 양녕로 117 ,37.4859987,126.9468946,799,2003-10-02,17,32,재개발,32,32,,,,,,,,,
142,70195,상도3쌍용,재개발,동작구,동작구 상도로 107 ,37.5051281,126.9450798,65,2003-12-27,17,33,재개발,33,33,,,,,,,,,
143,70198,관악푸르지오(봉천7-2),재개발,관악구,관악구 청림5길 28 ,37.4890336,126.959786,392,2003-12-18,17,32,재개발,32,32,,,,,,,,,
144,70197,삼각산아이원(미아5),재개발,강북구,강북구 삼양로19길 113 ,37.6161517,127.0173838,673,2003-12-30,17,24,재개발,24,24,,,,,,,,,
145,70199,본동한신휴플러스(본동2-3),재개발,동작구,동작구 매봉로 99 ,37.5126128,126.9521543,134,2004-08-07,16,32,재개발,32,32,,,,,,,,,
146,70208,길음뉴타운4단지,재개발,성북구,성북구 길음로 118 ,37.6041932,127.0240219,276,2005-04-20,15,30,재개발,30,30,,,,,,,,,
147,70207,길음뉴타운3단지,재개발,성북구,성북구 길음로13길 39 ,37.6093064,127.0185206,282,2005-04-20,15,30,재개발,30,30,,,,,,,,,
148,40103,당산 SH VILLE,공공,영등포구,영등포구 영신로 183 ,37.5134839,126.908678,195,2005-06-17,15,"59,84",공공,72,59,84,,,,,,,,
149,70209,방배SH-ville(방배2),재개발,서초구,서초구 과천대로 908 ,37.4626813,126.9880724,81,2005-08-12,15,29,재개발,29,29,,,,,,,,,
150,70210,불광SH-ville(불광1),재개발,은평구,은평구 불광로2길 46 ,37.611652,126.9347773,100,2005-09-04,15,32,재개발,32,32,,,,,,,,,
151,20205,장월1(임대),국민,성북구,성북구 한천로101길 54 ,37.6223144,127.0486905,254,2006-04-18,14,"39,49",국민,44,39,49,,,,,,,,
152,70212,본동SH-ville,재개발,동작구,동작구 노량진로22길 60 ,37.5110263,126.9502525,176,2006-11-01,14,32,재개발,32,32,,,,,,,,,
153,70211,상도SH-ville,재개발,동작구,동작구 상도로53길 70 ,37.50224235,126.9540514,953,2006-11-01,14,32,재개발,32,32,,,,,,,,,
154,20457,마장동 임대아파트,국민,성동구,성동구 마조로15가길 23 ,37.5642198,127.0411004,400,2006-11-01,14,"39,49",국민,44,39,49,,,,,,,,
155,70200,종암SH-Ville,재개발,성북구,성북구 종암로9길 71 ,37.5973777,127.0328338,104,2007-04-09,13,30,재개발,30,30,,,,,,,,,
156,20439,발산지구2단지(임대),"국민,장기혼합",강서구,강서구 강서로47길 158 ,37.5538516,126.8276882,258,2007-07-10,13,59,"국민,장기혼합",59,59,,,,,,,,,
157,20439,발산지구2단지(임대),"국민,장기혼합",강서구,강서구 강서로47길 158 ,37.5538516,126.8276882,258,2007-07-10,13,59,"국민,장기혼합",59,59,,,,,,,,,
158,20437,장지지구11단지(임대),"국민,장기혼합",송파구,송파구 송파대로8길 58 ,37.4785407,127.1312037,114,2007-07-31,13,59,"국민,장기혼합",59,59,,,,,,,,,
159,20437,장지지구11단지(임대),"국민,장기혼합",송파구,송파구 송파대로8길 58 ,37.4785407,127.1312037,114,2007-07-31,13,59,"국민,장기혼합",59,59,,,,,,,,,
