no,name,line,trans,x,y,coporation,juso
194,성수,서울 도시철도 2호선,일반역,37.5444338,127.0559893,서울교통공사,서울특별시 성동구 아차산로 100 (성수동2가)
195,뚝섬,서울 도시철도 2호선,일반역,37.54712239,127.0473648,서울교통공사,서울특별시 성동구 아차산로 18 (성수동1가)
196,한양대,서울 도시철도 2호선,일반역,37.55522179,127.0434917,서울교통공사,서울특별시 성동구 왕십리로 206 (행당동)
197,상왕십리,서울 도시철도 2호선,일반역,37.56417104,127.0293524,서울교통공사,서울특별시 성동구 왕십리로 지하 374 (하왕십리동)
198,왕십리,서울 도시철도 5호선,일반역,37.56172516,127.0369076,서울교통공사,서울특별시 성동구 왕십리로 지하300 (행당동)
199,왕십리,서울 도시철도 2호선,환승역,37.56152516,127.0375076,서울교통공사,서울특별시 성동구 왕십리로 지하300(행당동)
200,용답,서울 도시철도 2호선,일반역,37.56183232,127.050871,서울교통공사,서울특별시 성동구 용답길 86 (용답동)
201,신답,서울 도시철도 2호선,일반역,37.56961893,127.0468598,서울교통공사,서울특별시 성동구 천호대로 232 (용답동)
202,답십리,서울 도시철도 5호선,일반역,37.56690598,127.0524701,서울교통공사,서울특별시 성동구 천호대로 지하300(용답동)
203,행당,서울 도시철도 5호선,일반역,37.55754312,127.0296931,서울교통공사,서울특별시 성동구 행당로 지하89 (행당동)
204,안암,서울 도시철도 6호선,일반역,37.58623045,127.0292203,서울교통공사,서울특별시 성북구 고려대로 지하89 (안암동5가)
205,성신여대입구,서울 도시철도 4호선,일반역,37.5927377,127.0163071,서울교통공사,서울특별시 성북구 동소문로 지하 102 (동선동4가)
206,길음,서울 도시철도 4호선,일반역,37.6035085,127.0249611,서울교통공사,서울특별시 성북구 동소문로 지하 248 (길음동)
207,보문,서울 도시철도 6호선,일반역,37.58543035,127.0192192,서울교통공사,서울특별시 성북구 보문로 지하116 (보문동1가)
208,한성대입구,서울 도시철도 4호선,일반역,37.58838493,127.0059994,서울교통공사,서울특별시 성북구 삼선교로 지하1 (삼선동1가)
209,월곡,서울 도시철도 6호선,일반역,37.6020753,127.0414221,서울교통공사,서울특별시 성북구 월곡로 지하107 (하월곡동)
210,고려대,서울 도시철도 6호선,일반역,37.59033908,127.0358642,서울교통공사,서울특별시 성북구 종암로 지하1 (종암동)
211,상월곡,서울 도시철도 6호선,일반역,37.60632242,127.0485887,서울교통공사,서울특별시 성북구 화랑로 지하157 (상월곡동)
212,돌곶이,서울 도시철도 6호선,일반역,37.61052771,127.0564482,서울교통공사,서울특별시 성북구 화랑로 지하243 (석관동)
213,마천,서울 도시철도 5호선,일반역,37.49495884,127.152476,서울교통공사,서울특별시 송파구 마천로57길 지하7(마천동)
214,가락시장,서울 도시철도 3호선,일반역,37.49276539,127.1178996,서울교통공사,서울특별시 송파구 송파대로 지하 257 (가락동)
215,가락시장,서울 도시철도 8호선,일반역,37.49292332,127.1180741,서울교통공사,서울특별시 송파구 송파대로 지하 257 (가락동)
216,문정,서울 도시철도 8호선,일반역,37.4859849,127.1222272,서울교통공사,서울특별시 송파구 송파대로 지하179 (문정동)
217,송파,서울 도시철도 8호선,일반역,37.4997227,127.1118647,서울교통공사,서울특별시 송파구 송파대로 지하354 (가락동)
218,석촌,서울 도시철도 8호선,일반역,37.50535113,127.1069303,서울교통공사,서울특별시 송파구 송파대로 지하439(석촌동)
219,복정,서울 도시철도 8호선,일반역,37.47008981,127.1264714,서울교통공사,서울특별시 송파구 송파대로 지하6 (장지동)
220,장지,서울 도시철도 8호선,일반역,37.47839756,127.1260529,서울교통공사,서울특별시 송파구 송파대로 지하82(장지동)
221,방이,서울 도시철도 5호선,일반역,37.50865738,127.1260716,서울교통공사,서울특별시 송파구 양재대로 지하1127 (방이동)
222,올림픽공원,서울 도시철도 5호선,일반역,37.51620079,127.1308803,서울교통공사,서울특별시 송파구 양재대로 지하1233
223,잠실나루,서울 도시철도 2호선,일반역,37.52054808,127.1036977,서울교통공사,서울특별시 송파구 오금로 20 (신천동)
224,오금,서울 도시철도 3호선,일반역,37.50216539,127.1278996,서울교통공사,서울특별시 송파구 오금로 지하 321 (오금동)
225,오금,서울 도시철도 5호선,일반역,37.50196105,127.1277379,서울교통공사,서울특별시 송파구 오금로 지하 321 (오금동)
226,개롱,서울 도시철도 5호선,일반역,37.49782678,127.1348328,서울교통공사,서울특별시 송파구 오금로 지하402 (가락동)
227,거여,서울 도시철도 5호선,일반역,37.49316744,127.1436672,서울교통공사,서울특별시 송파구 오금로 지하499(거여동)
228,잠실새내,서울 도시철도 2호선,일반역,37.51141143,127.0860068,서울교통공사,서울특별시 송파구 올림픽로 지하 140 (잠실동)
229,종합운동장,서울 도시철도 2호선,일반역,37.51106095,127.073542,서울교통공사,서울특별시 송파구 올림픽로 지하 23 (잠실동)
230,잠실,서울 도시철도 2호선,일반역,37.51376934,127.1021882,서울교통공사,서울특별시 송파구 올림픽로 지하 265 (잠실동)
231,잠실,서울 도시철도 8호선,일반역,37.51386481,127.1024965,서울교통공사,서울특별시 송파구 올림픽로 지하 265 (잠실동)
232,몽촌토성,서울 도시철도 8호선,일반역,37.51742473,127.1123921,서울교통공사,서울특별시 송파구 올림픽로 지하383
233,경찰병원,서울 도시철도 3호선,일반역,37.49576539,127.1242996,서울교통공사,서울특별시 송파구 중대로 지하 149 (가락동)
234,양천구청,서울 도시철도 2호선,일반역,37.51205148,126.8656075,서울교통공사,서울특별시 양천구 목동로3길 지하 33(신정동)
235,신정,서울 도시철도 5호선,일반역,37.52501081,126.8562294,서울교통공사,서울특별시 양천구 오목로 지하179 (신정동)
236,목동,서울 도시철도 5호선,일반역,37.52586671,126.8645757,서울교통공사,서울특별시 양천구 오목로 지하245 (목동)
237,오목교,서울 도시철도 5호선,일반역,37.52436614,126.8750582,서울교통공사,서울특별시 양천구 오목로 지하342 (목동)
238,신정네거리,서울 도시철도 2호선,일반역,37.51999688,126.8528986,서울교통공사,서울특별시 양천구 중앙로 지하 261 (신정동)
239,신길,서울 도시철도 5호선,일반역,37.51742655,126.916543,서울교통공사,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가)
240,당산,서울 도시철도 2호선,일반역,37.53425753,126.9024241,서울교통공사,서울특별시 영등포구 당산로 229 (당산동 6가)
241,영등포구청,서울 도시철도 2호선,일반역,37.52524847,126.8958333,서울교통공사,서울특별시 영등포구 당산로 지하 121 (당산동3가)
242,영등포구청,서울 도시철도 5호선,일반역,37.52524847,126.8958333,서울교통공사,서울특별시 영등포구 당산로 지하 121 (당산동3가)
243,문래,서울 도시철도 2호선,일반역,37.51779736,126.8945439,서울교통공사,서울특별시 영등포구 당산로 지하 28 (문래동3가)
244,대림,서울 도시철도 7호선,일반역,37.49307207,126.8959105,서울교통공사,서울특별시 영등포구 도림로 지하137
245,신풍,서울 도시철도 7호선,일반역,37.50008919,126.9098598,서울교통공사,서울특별시 영등포구 신풍로 지하27(신길동)
246,영등포시장,서울 도시철도 5호선,일반역,37.52274531,126.9047596,서울교통공사,서울특별시 영등포구 양산로 지하200 (영등포동5가)
247,양평,서울 도시철도 5호선,일반역,37.52558457,126.8862032,서울교통공사,서울특별시 영등포구 양산로 지하21(양평동2가)
248,여의도,서울 도시철도 5호선,일반역,37.52165166,126.9242291,서울교통공사,서울특별시 영등포구 여의나루로 지하40 (여의도동)
249,여의나루,서울 도시철도 5호선,일반역,37.52707204,126.9328665,서울교통공사,서울특별시 영등포구 여의동로 지하343 (여의도동)
250,녹사평,서울 도시철도 6호선,일반역,37.53464201,126.9867518,서울교통공사,서울특별시 용산구 녹사평대로 지하195 (용산동4가)
251,효창공원앞,서울 도시철도 6호선,일반역,37.53933404,126.961371,서울교통공사,서울특별시 용산구 백범로 지하287 (효창동)
252,이촌,서울 도시철도 4호선,일반역,37.52234094,126.9741382,서울교통공사,서울특별시 용산구 용산동5가 17
253,이태원,서울 도시철도 6호선,일반역,37.53449861,126.994038,서울교통공사,서울특별시 용산구 이태원로 지하177(이태원동)
254,한강진,서울 도시철도 6호선,일반역,37.53974445,127.0014826,서울교통공사,서울특별시 용산구 이태원로 지하287 (한남동)
255,신용산,서울 도시철도 4호선,일반역,37.5292129,126.9677003,서울교통공사,서울특별시 용산구 한강대로 지하 112 (한강로2가)
256,삼각지,서울 도시철도 4호선,일반역,37.53475857,126.9734308,서울교통공사,서울특별시 용산구 한강대로 지하 180 (한강로1가)
257,삼각지,서울 도시철도 6호선,일반역,37.53471155,126.9733777,서울교통공사,서울특별시 용산구 한강대로 지하 180 (한강로1가)
258,숙대입구,서울 도시철도 4호선,일반역,37.54467788,126.9719943,서울교통공사,서울특별시 용산구 한강대로 지하 306
259,서울역,서울 도시철도 4호선,일반역,37.55356539,126.9724996,서울교통공사,서울특별시 용산구 한강대로 지하 392(동자동)
260,독바위,서울 도시철도 6호선,일반역,37.61844071,126.9329961,서울교통공사,서울특별시 은평구 불광로 지하129-1 (불광동)
