gov,gu,name,school,type,juso,student,class,x,y
서부,은평구,서울갈현초등학교,초등학교, 공립,서울특별시 은평구 연서로29길 31 ,25.4,61,37.6194356,126.9198257
서부,은평구,서울수리초등학교,초등학교, 공립,서울특별시 은평구 불광로 ,21.2,24,37.6194722,126.9319868
서울시,강북구,삼각산고등학교,고등학교, 일반고, 서울특별시 강북구 삼양로19길 40 ,27.1,33,37.6195581,127.015256
성북,강북구,서울삼각산초등학교,초등학교, 공립,서울특별시 강북구 삼양로19길 141 ,31.9,46,37.6195581,127.015256
서부,은평구,하나유치원,유치원,사립,서울특별시 은평구 진관4로 93 ,12,13,37.61956775,127.0137775
중부,종로구,하나유치원,유치원,사립,서울특별시 종로구 평창길 317 ,25.3,6,37.61956775,127.0137775
강남,서초구,하나유치원,유치원,사립,서울특별시 서초구 잠원로8길 13 ,25,8,37.61956775,127.0137775
성북,강북구,하나유치원,유치원,사립,서울특별시 강북구 솔샘로 174 ,22.8,10,37.61956775,127.0137775
북부,노원구,보고유치원,유치원,사립,서울특별시 노원구 석계로 13길 23-14,22.5,4,37.61959157,127.0614258
북부,노원구,서울여자대학교부속유치원,유치원,사립,서울특별시 노원구 화랑로 621 ,23.5,6,37.6196356,127.0822613
북부,노원구,육사유치원,유치원,사립,서울특별시 노원구 화랑로 574 ,23.3,3,37.6196356,127.0822613
북부,노원구,화랑초등학교,초등학교, 사립,서울특별시 노원구 화랑로 621 ,29.8,24,37.6196356,127.0822613
서울시,노원구,광운전자공업고등학교,고등학교, 특성화고(직업), 서울특별시 노원구 광운로1길 24 ,29.6,36,37.6201745,127.0545527
북부,노원구,광운중학교,중학교, 사립, 서울특별시 노원구 광운로1길 24 ,27.2,23,37.6201745,127.0545527
서울시,은평구,대성고등학교,고등학교, 자율고, 서울특별시 은평구 갈현로29길 51-24 ,34,38,37.6202891,126.9131465
서부,은평구,대성중학교,중학교, 사립, 서울특별시 은평구 갈현로29길 51-24 ,32.3,30,37.6202891,126.9131465
서울시,은평구,선일여자고등학교,고등학교, 일반고, 서울특별시 은평구 갈현로29길 27 ,35.5,39,37.6202891,126.9131465
서부,은평구,선일여자중학교,중학교, 사립, 서울특별시 은평구 갈현로29길 27 ,29.4,30,37.6202891,126.9131465
서부,은평구,선일유치원,유치원,사립,서울특별시 은평구 갈현로29길 27 ,25.6,5,37.6202891,126.9131465
서울시,은평구,선일이비즈니스고등학교,고등학교, 특성화고(직업), 서울특별시 은평구 갈현로29길 27 ,24.5,27,37.6202891,126.9131465
서부,은평구,선일초등학교,초등학교, 사립,서울특별시 은평구 갈현로29길 27 ,28.1,18,37.6202891,126.9131465
성북,강북구,서울인수초등학교,초등학교, 공립,서울특별시 강북구 인수봉로 269 ,22.7,37,37.6204276,127.0120243
성북,강북구,유안유치원,유치원,사립,서울특별시 강북구 인수봉로 297 ,27,3,37.6204276,127.0120243
성북,강북구,인수유치원,유치원,사립,서울특별시 강북구 인수봉로 298 ,40,1,37.6204276,127.0120243
서울시,강북구,혜화여자고등학교,고등학교, 일반고, 서울특별시 강북구 인수봉로 127 ,29,37,37.6204276,127.0120243
북부,노원구,서울태릉초등학교,초등학교, 공립,서울특별시 노원구 노원로1길 36 ,25.3,53,37.6204988,127.0814865
서울시,강북구,성암국제무역고등학교,고등학교, 특성화고(직업), 서울특별시 강북구 도봉로29길 52 ,24.3,24,37.620888,127.0246478
성북,강북구,성암여자중학교,중학교, 사립, 서울특별시 강북구 도봉로29길 52 ,30.8,25,37.620888,127.0246478
서부,은평구,서울연천초등학교,초등학교, 공립,서울특별시 은평구 연서로34길 22 ,21.2,16,37.62143,126.92899
서부,은평구,서울연천초등학교병설유치원,유치원,공립,서울특별시 은평구 연서로34길 22 ,22.5,2,37.62143,126.92899
북부,노원구,공릉중학교,중학교, 공립, 서울특별시 노원구 노원로1길 42 ,32.2,32,37.6215743,127.0835681
서부,은평구,연신중학교,중학교, 공립, 서울특별시 은평구 연서로33길 16-32 ,29.4,28,37.6216225,126.9250801
서울시,노원구,노원고등학교,고등학교, 일반고, 서울특별시 노원구 노원로 586 ,29.7,36,37.621696,127.0871691
북부,노원구,상계중학교,중학교, 공립, 서울특별시 노원구 노원로 398 ,31.4,36,37.621696,127.0871691
북부,노원구,온곡중학교,중학교, 공립, 서울특별시 노원구 노원로 492 ,32.9,29,37.621696,127.0871691
북부,노원구,풍천유치원,유치원,사립,서울특별시 노원구 노원로 522 ,23,6,37.621696,127.0871691
북부,노원구,하계중학교,중학교, 공립, 서울 노원구 노원로 261-8 ,32.7,45,37.621696,127.0871691
서부,은평구,궁전유치원,유치원,사립,서울특별시 은평구 갈현로33길 24 ,14.3,4,37.6221642,126.9122392
성북,성북구,서울장월초등학교,초등학교, 공립,서울특별시 성북구 한천로101길 66 ,23.9,28,37.6222928,127.0504536
성북,성북구,서울장월초등학교병설유치원,유치원,공립,서울특별시 성북구 한천로101길 66 ,25.5,4,37.6222928,127.0504536
